Chapter Name,Section Name,Verse,Translation
அறத்துப்பால் , வான்சிறப்பு ,"நெடுங்கடலும்	தன்நீர்மை	குன்றும்	தடிந்தெழிலி			தான்நல்கா	தாகி	விடின்.	","If clouds restrain their gifts and grant no rain, The treasures fail in ocean's wide domain. "
அறத்துப்பால் , வான்சிறப்பு ,"சிறப்பொடு	பூசனை	செல்லாது	வானம்			வறக்குமேல்	வானோர்க்கும்	ஈண்டு.	","If heaven grow dry, with feast and offering never more, Will men on earth the heavenly ones adore. "
அறத்துப்பால் , வான்சிறப்பு ,"தானம்	தவம்இரண்டும்	தங்கா	வியன்உலகம்			வானம்	வழங்கா	தெனின்.	","If heaven its watery treasures ceases to dispense, Through the wide world cease gifts, and deeds of 'penitence'. "
அறத்துப்பால் , வான்சிறப்பு ,"நீர்இன்று	அமையாது	உலகெனின்	யார்யார்க்கும்			வான்இன்று	அமையாது	ஒழுக்கு.	","When water fails, functions of nature cease, you say; Thus when rain fails, no men can walk in 'duty's ordered way'. "
அறத்துப்பால் , நீத்தார் பெருமை ,"ஒழுக்கத்து	நீத்தார்	பெருமை	விழுப்பத்து			வேண்டும்	பனுவல்	துணிவு.	","The settled rule of every code requires, as highest good, Their greatness who, renouncing all, true to their rule have stood. "
அறத்துப்பால் , நீத்தார் பெருமை ,"துறந்தார்	பெருமை	துணைக்கூறின்	வையத்து			இறந்தாரை	எண்ணிக்கொண்	டற்று.	","As counting those that from the earth have passed away, 'Tis vain attempt the might of holy men to say. "
அறத்துப்பால் , நீத்தார் பெருமை ,"இருமை	வகைதெரிந்து	ஈண்டுஅறம்	பூண்டார்			பெருமை	பிறங்கிற்று	உலகு.	","Their greatness earth transcends, who, way of both worlds weighed, In this world take their stand, in virtue's robe arrayed. "
அறத்துப்பால் , நீத்தார் பெருமை ,"உரனென்னும்	தோட்டியான்	ஓரைந்தும்	காப்பான்			வரனென்னும்	வைப்பிற்கோர்	வித்தது.	","He, who with firmness, curb the five restrains, Is seed for soil of yonder happy plains. "
அறத்துப்பால் , நீத்தார் பெருமை ,"ஐந்தவித்தான்	ஆற்றல்	அகல்விசும்பு	ளார்கோமான்			இந்திரனே	சாலுங்	கரி.	","Their might who have destroyed 'the five', shall soothly tell Indra, the lord of those in heaven's wide realms that dwell. "
அறத்துப்பால் , நீத்தார் பெருமை ,"செயற்கரிய	செய்வார்	பெரியர்	சிறியர்			செயற்கரிய	செய்கலா	தார்.	",Things hard in the doing will great men do; Things hard in the doing the mean eschew. 
அறத்துப்பால் , நீத்தார் பெருமை ,"சுவைஒளி	ஊறுஓசை	நாற்றமென	ஐந்தின்			வகைதெரிவான்	கட்டே	உலகு.	","Taste, light, touch, sound, and smell: who knows the way Of all the five,- the world submissive owns his sway. "
அறத்துப்பால் , நீத்தார் பெருமை ,"நிறைமொழி	மாந்தர்	பெருமை	நிலத்து			மறைமொழி	காட்டி	விடும்.	","The might of men whose word is never vain, The 'secret word' shall to the earth proclaim. "
அறத்துப்பால் , நீத்தார் பெருமை ,"குணமென்னும்	குன்றேறி	நின்றார்	வெகுளி			கணமேயும்	காத்தல்	அரிது.	","The wrath 'tis hard e'en for an instant to endure, Of those who virtue's hill have scaled, and stand secure. "
அறத்துப்பால் , நீத்தார் பெருமை ,"அந்தணர்	என்போர்	அறவோர்மற்	றெவ்வுயிர்க்கும்			செந்தண்மை	பூண்டொழுக	லான்.	","Towards all that breathe, with seemly graciousness adorned they live; And thus to virtue's sons the name of 'Anthanar' men give, "
அறத்துப்பால் , அறன்வலியுறுத்தல் ,"சிறப்புஈனும்	செல்வமும்	ஈனும்	அறத்தினூஉங்கு			ஆக்கம்	எவனோ	உயிர்க்கு.	","It yields distinction, yields prosperity; what gain Greater than virtue can a living man obtain? "
அறத்துப்பால் , அறன்வலியுறுத்தல் ,"அறத்தினூஉங்கு	ஆக்கமும்	இல்லை	அதனை			மறத்தலின்	ஊங்கில்லை	கேடு.	",No greater gain than virtue aught can cause; No greater loss than life oblivious of her laws. 
அறத்துப்பால் , அறன்வலியுறுத்தல் ,"ஒல்லும்	வகையான்	அறவினை	ஓவாதே			செல்லும்வாய்	எல்லாஞ்	செயல்.	","To finish virtue's work with ceaseless effort strive, What way thou may'st, where'er thou see'st the work may thrive. "
அறத்துப்பால் , அறன்வலியுறுத்தல் ,"மனத்துக்கண்	மாசிலன்	ஆதல்	அனைத்தறன்			ஆகுல	நீர	பிற.	","Spotless be thou in mind! This only merits virtue's name; All else, mere pomp of idle sound, no real worth can claim. "
அறத்துப்பால் , அறன்வலியுறுத்தல் ,"அழுக்காறு	அவாவெகுளி	இன்னாச்சொல்	நான்கும்			இழுக்கா	இயன்றது	அறம்.	","'Tis virtue when, his footsteps sliding not through envy, wrath, Lust, evil speech-these four, man onwards moves in ordered path. "
அறத்துப்பால் , அறன்வலியுறுத்தல் ,"அன்றறிவாம்	என்னாது	அறஞ்செய்க	மற்றது			பொன்றுங்கால்	பொன்றாத்	துணை.	","Do deeds of virtue now. Say not, 'To-morrow we'll be wise'; Thus, when thou diest, shalt thou find a help that never dies. "
அறத்துப்பால் , அறன்வலியுறுத்தல் ,"அறத்தாறு	இதுவென	வேண்டா	சிவிகை			பொறுத்தானோடு	ஊர்ந்தான்	இடை.	",Needs not in words to dwell on virtue's fruits: compare The man in litter borne with them that toiling bear! 
அறத்துப்பால் , அறன்வலியுறுத்தல் ,"வீழ்நாள்	படாஅமை	நன்றாற்றின்	அஃதொருவன்			வாழ்நாள்	வழியடைக்கும்	கல்.	","If no day passing idly, good to do each day you toil, A stone it will be to block the way of future days of moil. "
அறத்துப்பால் , அறன்வலியுறுத்தல் ,"அறத்தான்	வருவதே	இன்பம்	மற்றெல்லாம்			புறத்த	புகழும்	இல.	","What from virtue floweth, yieldeth dear delight; All else extern, is void of glory's light. "
அறத்துப்பால் , அறன்வலியுறுத்தல் ,"செயற்பால	தோரும்	அறனே	ஒருவற்கு			உயற்பால	தோரும்	பழி.	",'Virtue' sums the things that should be done; 'Vice' sums the things that man should shun. 
அறத்துப்பால் , இல்வாழ்க்கை ,"இல்வாழ்வான்	என்பான்	இயல்புடைய	மூவர்க்கும்			நல்லாற்றின்	நின்ற	துணை.	","The men of household virtue, firm in way of good, sustain The other orders three that rule professed maintain. "
அறத்துப்பால் , இல்வாழ்க்கை ,"துறந்தார்க்கும்	துவ்வாதவர்க்கும்	இறந்தார்க்கும்	இல்வாழ்வான்			என்பான்	துணை.	","To anchorites, to indigent, to those who've passed away, The man for household virtue famed is needful held and stay. "
அறத்துப்பால் , இல்வாழ்க்கை ,"தென்புலத்தார்	தெய்வம்	விருந்தொக்கல்	தானென்றாங்கு			ஐம்புலத்தாறு	ஓம்பல்	தலை.	","The manes, God, guests kindred, self, in due degree, These five to cherish well is chiefest charity. "
அறத்துப்பால் , இல்வாழ்க்கை ,"பழியஞ்சிப்	பாத்தூண்	உடைத்தாயின்	வாழ்க்கை			வழியெஞ்சல்	எஞ்ஞான்றும்	இல்.	","Who shares his meal with other, while all guilt he shuns, His virtuous line unbroken though the ages runs. "
அறத்துப்பால் , இல்வாழ்க்கை ,"அன்பும்	அறனும்	உடைத்தாயின்	இல்வாழ்க்கை			பண்பும்	பயனும்	அது.	","If love and virtue in the household reign, This is of life the perfect grace and gain. "
அறத்துப்பால் , இல்வாழ்க்கை ,"அறத்தாற்றின்	இல்வாழ்க்கை	ஆற்றின்	புறத்தாற்றில்			போஒய்ப்	பெறுவ	எவன்.	","If man in active household life a virtuous soul retain, What fruit from other modes of virtue can he gain? "
அறத்துப்பால் , இல்வாழ்க்கை ,"இயல்பினான்	இல்வாழ்க்கை	வாழ்பவன்	என்பான்			முயல்வாருள்	எல்லாம்	தலை.	","In nature's way who spends his calm domestic days, 'Mid all that strive for virtue's crown hath foremost place. "
அறத்துப்பால் , இல்வாழ்க்கை ,"ஆற்றின்	ஒழுக்கி	அறனிழுக்கா	இல்வாழ்க்கை			நோற்பாரின்	நோன்மை	உடைத்து.	","Others it sets upon their way, itself from virtue ne'er declines; Than stern ascetics' pains such life domestic brighter shines. "
அறத்துப்பால் , இல்வாழ்க்கை ,"அறனென்ப்	பட்டதே	இல்வாழ்க்கை	அஃதும்			பிறன்பழிப்ப	தில்லாயின்	நன்று.	","The life domestic rightly bears true virtue's name; That other too, if blameless found, due praise may claim. "
அறத்துப்பால் , இல்வாழ்க்கை ,"வையத்துள்	வாழ்வாங்கு	வாழ்பவன்	வான்உநற்யும்			தெய்வத்துள்	வைக்கப்	படும்.	","Who shares domestic life, by household virtues graced, Shall, mid the Gods, in heaven who dwell, be placed. "
அறத்துப்பால் , வாழ்க்கைத் துணைநலம் ,"மனைக்தக்க	மாண்புடையள்	ஆகித்தற்	கொண்டான்			வளத்தக்காள்	வாழ்க்கைத்	துணை.	","As doth the house beseem, she shows her wifely dignity; As doth her husband's wealth befit, she spends: help - meet is she. "
அறத்துப்பால் , வாழ்க்கைத் துணைநலம் ,"மனைமாட்சி	இல்லாள்கண்	இல்லாயின்	வாழ்க்கை			எனைமாட்சித்	தாயினும்	இல்.	","If household excellence be wanting in the wife, Howe'er with splendour lived, all worthless is the life. "
அறத்துப்பால் , வாழ்க்கைத் துணைநலம் ,"இல்லதென்	இல்லவள்	மாண்பானால்	உள்ளதென்			இல்லவள்	மாணாக்	கடை.	","There is no lack within the house, where wife in worth excels, There is no luck within the house, where wife dishonoured dwells. "
அறத்துப்பால் , வாழ்க்கைத் துணைநலம் ,"பெண்ணின்	பெருந்தக்க	யாவுள	கற்பென்னும்			திண்மைஉண்	டாகப்	பெறின்.	","If woman might of chastity retain, What choicer treasure doth the world contain? "
அறத்துப்பால் , வாழ்க்கைத் துணைநலம் ,"தெய்வம்	தொழாஅள்	கொழுநன்	தொழுதெழுவாள்			பெய்யெனப்	பெய்யும்	மழை.	","No God adoring, low she bends before her lord; Then rising, serves: the rain falls instant at her word! "
அறத்துப்பால் , வாழ்க்கைத் துணைநலம் ,"தற்காத்துத்	தற்கொண்டாற்	பேணித்	தகைசான்ற			சொற்காத்துச்	சோர்விலாள்	பெண்.	","Who guards herself, for husband's comfort cares, her household's fame, In perfect wise with sleepless soul preserves, -give her a woman's name. "
அறத்துப்பால் , வாழ்க்கைத் துணைநலம் ,"சிறைகாக்கும்	காப்பெவன்	செய்யும்	மகளிர்			நிறைகாக்கும்	காப்பே	தலை.	",Of what avail is watch and ward? Honour's woman's safest guard. 
அறத்துப்பால் , வாழ்க்கைத் துணைநலம் ,"பெற்றாற்	பெறின்பெறுவர்	பெண்டிர்	பெருஞ்சிறப்புப்			புத்தேளிர்	வாழும்	உலகு.	","If wife be wholly true to him who gained her as his bride, Great glory gains she in the world where gods bliss abide. "
அறத்துப்பால் , வாழ்க்கைத் துணைநலம் ,"புகழ்புரிந்த	இல்லிலோர்க்கு	இல்லை	இகழ்வார்முன்			ஏறுபோல்	பீடு	நடை.	","Who have not spouses that in virtue's praise delight, They lion-like can never walk in scorner's sight. "
அறத்துப்பால் , வாழ்க்கைத் துணைநலம் ,"மங்கலம்	என்ப	மனைமாட்சி	மற்றுஅதன்			நன்கலம்	நன்மக்கட்	பேறு.	","The house's 'blessing', men pronounce the house-wife excellent; The gain of blessed children is its goodly ornament. "
அறத்துப்பால் , புதல்வரைப் பெறுதல் ,"பெறுமவற்றுள்	யாமறிவது	இல்லை	அறிவறிந்த			மக்கட்பேறு	அல்ல	பிற.	","Of all that men acquire, we know not any greater gain, Than that which by the birth of learned children men obtain. "
அறத்துப்பால் , புதல்வரைப் பெறுதல் ,"எழுபிறப்பும்	தீயவை	தீண்டா	பழிபிறங்காப்			பண்புடை	மக்கட்	பெறின்.	","Who children gain, that none reproach, of virtuous worth, No evils touch them, through the sev'n-fold maze of birth. "
அறத்துப்பால் , புதல்வரைப் பெறுதல் ,"தம்பொருள்	என்பதம்	மக்கள்	அவர்பொருள்			தம்தம்	வினையான்	வரும்.	","'Man's children are his fortune,' say the wise; From each one's deeds his varied fortunes rise. "
அறத்துப்பால் , புதல்வரைப் பெறுதல் ,"அமிழ்தினும்	ஆற்ற	இனிதேதம்	மக்கள்			சிறுகை	அளாவிய	கூழ்.	","Than God's ambrosia sweeter far the food before men laid, In which the little hands of children of their own have play'd. "
அறத்துப்பால் , புதல்வரைப் பெறுதல் ,"மக்கள்மெய்	தீண்டல்	உடற்கின்பம்	மற்றுஅவர்			சொற்கேட்டல்	இன்பம்	செவிக்கு.	",To patent sweet the touch of children dear; Their voice is sweetest music to his ear. 
அறத்துப்பால் , புதல்வரைப் பெறுதல் ,"குழல்இனிது	யாழ்இனிது	என்பதம்	மக்கள்			மழலைச்சொல்	கேளா	தவர்.	","'The pipe is sweet,' 'the lute is sweet,' by them't will be averred, Who music of their infants' lisping lips have never heard. "
அறத்துப்பால் , புதல்வரைப் பெறுதல் ,"தந்தை	மகற்காற்று	நன்றி	அவையத்து			முந்தி	இருப்பச்	செயல்.	","Sire greatest boon on son confers, who makes him meet, In councils of the wise to fill the highest seat. "
அறத்துப்பால் , புதல்வரைப் பெறுதல் ,"தம்மின்தம்	மக்கள்	அறிவுடைமை	மாநிலத்து			மன்னுயிர்க்	கெல்லாம்	இனிது.	","Their children's wisdom greater than their own confessed, Through the wide world is sweet to every human breast. "
அறத்துப்பால் , புதல்வரைப் பெறுதல் ,"ஈன்ற	பொழுதின்	பெரிதுவக்கும்	தன்மகனைச்			சான்றோன்	எனக்கேட்ட	தாய்.	","When mother hears him named 'fulfill'd of wisdom's lore,' Far greater joy she feels, than when her son she bore. "
அறத்துப்பால் , புதல்வரைப் பெறுதல் ,"மகன்தந்தைக்கு	ஆற்றும்	உதவி	இவன்தந்தை			என்நோற்றான்	கொல்எனும்	சொல்.	","To sire, what best requital can by grateful child be done? To make men say, 'What merit gained the father such a son?' "
அறத்துப்பால் , அன்புடைமை ,"அன்பிற்கும்	உண்டோ	அடைக்குந்தாழ்	ஆர்வலர்			புன்கணீர்	பூசல்	தரும்.	",And is there bar that can even love restrain? The tiny tear shall make the lover's secret plain. 
அறத்துப்பால் , அன்புடைமை ,"அன்பிலார்	எல்லாம்	தமக்குரியர்	அன்புடையார்			என்பும்	உரியர்	பிறர்க்கு.	",The loveless to themselves belong alone; The loving men are others' to the very bone. 
அறத்துப்பால் , அன்புடைமை ,"அன்போடு	இயைந்த	வழக்கென்ப	ஆருயிர்க்கு			என்போடு	இயைந்த	தொடர்பு.	","Of precious soul with body's flesh and bone, The union yields one fruit, the life of love alone. "
அறத்துப்பால் , அன்புடைமை ,"அன்புஈனும்	ஆர்வம்	உடைமை	அதுஈனும்			நண்பு	என்னும்	நாடாச்	சிறப்பு.	",From love fond yearning springs for union sweet of minds; And that the bond of rare excelling friendship binds. 
அறத்துப்பால் , அன்புடைமை ,"அன்புற்று	அமர்ந்த	வழக்கென்ப	வையகத்து			இன்புற்றார்	எய்தும்	சிறப்பு.	","Sweetness on earth and rarest bliss above, These are the fruits of tranquil life of love. "
அறத்துப்பால் , அன்புடைமை ,"அறத்திற்கே	அன்புசார்	பென்ப	அறியார்			மறத்திற்கும்	அஃதே	துணை.	","The unwise deem love virtue only can sustain, It also helps the man who evil would restrain. "
அறத்துப்பால் , அன்புடைமை ,"என்பி	லதனை	வெயில்போலக்	காயுமே			அன்பி	லதனை	அறம்.	","As sun's fierce ray dries up the boneless things, So loveless beings virtue's power to nothing brings. "
அறத்துப்பால் , அன்புடைமை ,"அன்பகத்	தில்லா	உயிர்வாழ்க்கை	வன்பாற்கண்			வற்றல்	மரந்தளிர்த்	தற்று.	","The loveless soul, the very joys of life may know, When flowers, in barren soil, on sapless trees, shall blow. "
அறத்துப்பால் , அன்புடைமை ,"புறத்துறுப்	பெல்லாம்	எவன்செய்யும்	யாக்கை			அகத்துறுப்பு	அன்பி	லவர்க்கு.	","Though every outward part complete, the body's fitly framed; What good, when soul within, of love devoid, lies halt and maimed? "
அறத்துப்பால் , அன்புடைமை ,"அன்பின்	வழியது	உயிர்நிலை	அஃதிலார்க்கு			என்புதோல்	போர்த்த	உடம்பு.	","Bodies of loveless men are bony framework clad with skin; Then is the body seat of life, when love resides within. "
அறத்துப்பால் , விருந்தோம்பல் ,"இருந்தோம்பி	இல்வாழ்வ	தெல்லாம்	விருந்தோம்பி			வேளாண்மை	செய்தற்	பொருட்டு.	","All household cares and course of daily life have this in view. Guests to receive with courtesy, and kindly acts to do. "
அறத்துப்பால் , விருந்தோம்பல் ,"விருந்து	புறத்ததாத்	தானுண்டல்	சாவா			மருந்தெனினும்	வேண்டற்பாற்	றன்று.	","Though food of immortality should crown the board, Feasting alone, the guests without unfed, is thing abhorred. "
அறத்துப்பால் , விருந்தோம்பல் ,"வருவிருந்து	வைகலும்	ஓம்புவான்	வாழ்க்கை			பருவந்து	பாழ்படுதல்	இன்று.	","Each day he tends the coming guest with kindly care; Painless, unfailing plenty shall his household share. "
அறத்துப்பால் , விருந்தோம்பல் ,"அகனமர்ந்து	செய்யாள்	உறையும்	முகனமர்ந்து			நல்விருந்து	ஓம்புவான்	இல்.	","With smiling face he entertains each virtuous guest, 'Fortune' with gladsome mind shall in his dwelling rest. "
அறத்துப்பால் , விருந்தோம்பல் ,"வித்தும்	இடல்வேண்டும்	கொல்லோ	விருந்தோம்பி			மிச்சில்	மிசைவான்	புலம்.	","Who first regales his guest, and then himself supplies, O'er all his fields, unsown, shall plenteous harvests rise. "
அறத்துப்பால் , விருந்தோம்பல் ,"செல்விருந்து	ஓம்பி	வருவிருந்து	பார்த்திருப்பான்			நல்வருந்து	வானத்	தவர்க்கு.	","The guest arrived he tends, the coming guest expects to see; To those in heavenly homes that dwell a welcome guest is he. "
அறத்துப்பால் , விருந்தோம்பல் ,"இனைத்துணைத்	தென்பதொன்	றில்லை	விருந்தின்			துணைத்துணை	வேள்விப்	பயன்.	",To reckon up the fruit of kindly deeds were all in vain; Their worth is as the worth of guests you entertain. 
அறத்துப்பால் , விருந்தோம்பல் ,"பரிந்தோம்பிப்	பற்றற்றேம்	என்பர்	விருந்தோம்பி			வேள்வி	தலைப்படா	தார்.	","With pain they guard their stores, yet 'All forlorn are we,' they'll cry, Who cherish not their guests, nor kindly help supply. "
அறத்துப்பால் , விருந்தோம்பல் ,"உடைமையுள்	இன்மை	விருந்தோம்பல்	ஓம்பா			மடமை	மடவார்கண்	உண்டு.	","To turn from guests is penury, though worldly goods abound; 'Tis senseless folly, only with the senseless found. "
அறத்துப்பால் , விருந்தோம்பல் ,"மோப்பக்	குழையும்	அனிச்சம்	முகந்திரிந்து			நோக்கக்	குநழ்யும்	விருந்து.	","The flower of 'Anicha' withers away, If you do but its fragrance inhale; If the face of the host cold welcome convey, The guest's heart within him will fail. "
அறத்துப்பால் , இனியவைகூறல் ,"இன்சொலால்	ஈரம்	அளைஇப்	படிறுஇலவாம்			செம்பொருள்	கண்டார்வாய்ச்	சொல்.	",Pleasant words are words with all pervading love that burn; Words from his guileless mouth who can the very truth discern. 
அறத்துப்பால் , இனியவைகூறல் ,"அகன்அமர்ந்து	ஈதலின்	நன்றே	முகனமர்ந்து			இன்சொலன்	ஆகப்	பெறின்.	","A pleasant word with beaming smile,s preferred, Even to gifts with liberal heart conferred. "
அறத்துப்பால் , இனியவைகூறல் ,"முகத்தான்	அமர்ந்து	இனிதுநோக்கி	அகத்தானாம்			இன்சொ	லினதே	அறம்.	","With brightly beaming smile, and kindly light of loving eye, And heart sincere, to utter pleasant words is charity. "
அறத்துப்பால் , இனியவைகூறல் ,"துன்புறூஉம்	துவ்வாமை	இல்லாகும்	யார்மாட்டும்			இன்புறூஉம்	இன்சொ	லவர்க்கு.	","The men of pleasant speech that gladness breathe around, Through indigence shall never sorrow's prey be found. "
அறத்துப்பால் , இனியவைகூறல் ,"பணிவுடையன்	இன்சொலன்	ஆதல்	ஒருவற்கு			அணியல்ல	மற்றுப்	பிற.	","Humility with pleasant speech to man on earth, Is choice adornment; all besides is nothing worth. "
அறத்துப்பால் , இனியவைகூறல் ,"அல்லவை	தேய	அறம்பெருகும்	நல்லவை			நாடி	இனிய	சொலின்	","Who seeks out good, words from his lips of sweetness flow; In him the power of vice declines, and virtues grow. "
அறத்துப்பால் , இனியவைகூறல் ,"நயன்ஈன்று	நன்றி	பயக்கும்	பயன்ஈன்று			பண்பின்	தலைப்பிரியாச்	சொல்.	","The words of sterling sense, to rule of right that strict adhere, To virtuous action prompting, blessings yield in every sphere. "
அறத்துப்பால் , இனியவைகூறல் ,"சிறுமையுவு	நீங்கிய	இன்சொல்	மறுமையும்			இம்மையும்	இன்பம்	தரும்.	","Sweet kindly words, from meanness free, delight of heart, In world to come and in this world impart. "
அறத்துப்பால் , இனியவைகூறல் ,"இன்சொல்	இனிதீன்றல்	காண்பான்	எவன்கொலோ			வன்சொல்	வழங்கு	வது.	","Who sees the pleasure kindly speech affords, Why makes he use of harsh, repellant words? "
அறத்துப்பால் , இனியவைகூறல் ,"இனிய	உளவாக	இன்னாத	கூறல்			கனிஇருப்பக்	காய்கவர்ந்	தற்று.	","When pleasant words are easy, bitter words to use, Is, leaving sweet ripe fruit, the sour unripe to choose. "
அறத்துப்பால் , செய்ந்நன்றி அறிதல் ,"செய்யாமல்	செய்த	உதவிக்கு	வையகமும்			வானகமும்	ஆற்றல்	அரிது.	","Assistance given by those who ne'er received our aid, Is debt by gift of heaven and earth but poorly paid. "
அறத்துப்பால் , செய்ந்நன்றி அறிதல் ,"காலத்தி	னாற்செய்த	நன்றி	சிறிதெனினும்			ஞாலத்தின்	மாணப்	பெரிது.	","A timely benefit, -though thing of little worth, The gift itself, -in excellence transcends the earth. "
அறத்துப்பால் , செய்ந்நன்றி அறிதல் ,"பயன்தூக்கார்	செய்த	உதவி	நயன்தூக்கின்			நன்மை	கடலின்	பெரிது.	","Kindness shown by those who weigh not what the return may be: When you ponder right its merit, 'Tis vaster than the sea. "
அறத்துப்பால் , செய்ந்நன்றி அறிதல் ,"தினைத்துணை	நன்றி	செயினும்	பனைத்துணையாக்			கொள்வர்	பயன்தெரி	வார்.	","Each benefit to those of actions' fruit who rightly deem, Though small as millet-seed, as palm-tree vast will seem. "
அறத்துப்பால் , செய்ந்நன்றி அறிதல் ,"உதவி	வரைத்தன்று	உதவி	உதவி			செயப்பட்டார்	சால்பின்	வரைத்து.	",The kindly aid's extent is of its worth no measure true; Its worth is as the worth of him to whom the act you do. 
அறத்துப்பால் , செய்ந்நன்றி அறிதல் ,"மறவற்க	மாசற்றார்	கேண்மை	துறவற்க			துன்பத்துள்	துப்பாயார்	நட்பு.	",Kindness of men of stainless soul remember evermore! Forsake thou never friends who were thy stay in sorrow sore! 
அறத்துப்பால் , செய்ந்நன்றி அறிதல் ,"எழுமை	எழுபிறப்பும்	உள்ளுவர்	தங்கண்			விழுமந்	துடைத்தவர்	நட்பு.	","Through all seven worlds, in seven-fold birth, Remains in mem'ry of the wise. Friendship of those who wiped on earth, The tears of sorrow from their eyes. "
அறத்துப்பால் , செய்ந்நன்றி அறிதல் ,"நன்றி	மறப்பது	நன்றன்று	நன்றல்லது			அன்றே	மறப்பது	நன்று.	","'Tis never good to let the thought of good things done thee pass away; Of things not good, 'tis good to rid thy memory that very day. "
அறத்துப்பால் , செய்ந்நன்றி அறிதல் ,"கொன்றன்ன	இன்னா	செயினும்	அவர்செய்த			ஒன்றுநன்று	உள்ளக்	கெடும்.	","Effaced straightway is deadliest injury, By thought of one kind act in days gone by. "
